Sl No,AC No,AC Name,Zone,PC,District,Org District,Dominant Caste 1,Dominant Caste 2,Dominant Caste 3,Dominant Caste 4,Dominant Caste 5,Winner - Name,Winner - Party,Winner - Category,Winner - Caste,Runner Up - Name,Runner Up - Party,Runner Up - Category,Runner Party - Caste,2024 GE Booth Gradation
99,99,Chitradurga,Central,Chitradurga,Chitradurga,Chitradurga,"SC - 25.92%
_______________

SC (Left) - 13.01%
SC (Bhovi) - 5.44%
SC (Right) - 5.3%
SC (Lambani) - 1.73%
SC (Others) - 0.44%",Muslim - 17.3%,"Lingayat - 13.67%
_______________

Lingayat Veerashaiva - 10.80%
Lingayat Panchamasali - 1.04%
Lingayat Sadaru - 1.03%
Lingayat Beda Jangama - 0.8%",ST Nayaka - 13.67%,Yadava/ Golla/ Hanabar - 7.8%,KC Veerendra Puppy,INC,GEN,Lingayat - Veerashaiva,Shri GS Thippa Reddy,BJP,GEN,Reddy,"Total no of Booths - 288
______________
Grade A - 188
Grade B - 13
Grade C - 5
Grade D - 82"
100,100,Hiriyur,Central,Chitradurga,Chitradurga,Chitradurga,"SC - 27.22%
_______________

SC (Left) - 15.24%
SC (Bhovi) - 6.49%
SC (Right) - 3.14%
SC (Lambani) - 2.35%",Yadava/ Golla/ Hanabar - 18.23%,"Vokkaliga - 15.16%
_______________

Vokkaliga - 7.43%
Vokkaliga Kunchitiga - 7.73%",ST Nayaka - 10%,Muslim - 9.64%,D Sudhakar,INC,OBC,Jain,Shri K Poornima,BJP,OBC,Yadava / Golla,"Total no of Booths - 287
______________
Grade A - 168
Grade B - 9
Grade C - 2
Grade D - 108"
101,101,Hosadurga,Central,Chitradurga,Chitradurga,Chitradurga,"SC - 20.87%
_______________

SC (Left) - 9.11%
SC (Bhovi) - 5.99%
SC (Lambani) - 3.99%
SC (Right) - 1.09%
SC (Others) - 0.69%","Lingayat - 20%
_______________

Lingayat Lingayat Kunchatiga - 8%
Lingayat Nonaba - 6%
Lingayat Sadaru - 7%",Kuruba/ Halumatha - 13.81%,Yadava/ Golla/ Hanabar - 8.59%,ST Nayaka - 8.54%,BG Govindappa,INC,OBC,Kuruba / Halumata,Shri S Lingamurthy,BJP,GEN,Lingayat - Sadaru,"Total no of Booths - 241
______________
Grade A - 135
Grade B - 11
Grade C - 3
Grade D - 92"
102,102,Holalkere (SC),Central,Chitradurga,Chitradurga,Chitradurga,"SC - 28.85%
_______________

SC (Left) - 12.75%
SC (Lambani) - 6.8%
SC (Bhovi) - 6.74%
SC (Right) - 2.56%","Lingayat - 27%
_______________

Lingayat Sadaru - 24%
Lingayat Lingayat Kunchatiga - 1.50%
Lingayat Veerashaiva - 1.50%",ST Nayaka - 14.92%,Yadava/ Golla/ Hanabar - 8.82%,Kuruba/ Halumatha - 5.03%,Shri M Chandrappa,BJP,SC,Bhovi,H Anjaneya,INC,GEN,SC - Left,"Total no of Booths - 299
______________
Grade A - 182
Grade B - 14
Grade C - 5
Grade D - 98"
103,103,Jagalur (ST),Central,Davanagere,Davanagere,Davangere,"SC - 27.73%
_______________

SC (Left) - 12.52%
SC (Bhovi) - 7.75%
SC (Lambani) - 5.1%
SC (Right) - 1.84%
SC (Others) - 0.52%",ST Nayaka - 24.62%,"Lingayat - 23%
_______________

Lingayat Sadaru - 15%
Lingayat Panchamasali - 4%
Lingayat Beda Jangama - 4%",Kuruba/ Halumatha - 6.49%,Yadava/ Golla/ Hanabar - 6.1%,B Devendrappa,INC,ST,Nayaka,Shri SV Ramachandra,BJP,ST,Nayaka,"Total no of Booths - 263
______________
Grade A - 110
Grade B - 16
Grade C - 14
Grade D - 123"
104,104,Harapanahalli,Central,Davanagere,Vijayanagara,Vijayanagar,"SC - 25.1%
_______________

SC (Lambani) - 11.47%
SC (Left) - 8.23%
SC (Bhovi) - 2.41%
SC (Right) - 1.51%
SC (Others) - 1.48%","Lingayat - 21%
_______________

Lingayat Panchamasali - 11%
Lingayat Sadaru - 7%
Lingayat Beda Jangama - 2%
Lingayat Ganiga - 1%",ST Nayaka - 17.77%,Kuruba/ Halumatha - 11.75%,Muslim - 9.26%,Latha Mallikarjun,IND,GEN,Lingayat - Jangama,Shri G Karunakara Reddy,BJP,GEN,Reddy,"Total no of Booths - 253
______________
Grade A - 148
Grade B - 12
Grade C - 14
Grade D - 79"
105,105,Harihar,Central,Davanagere,Davanagere,Davangere,"Lingayat - 23%
_______________

Lingayat Sadaru - 10%
Lingayat Panchamasali - 9%
Lingayat Veerashaiva - 4%",Muslim - 20.58%,Kuruba/ Halumatha - 15.07%,"SC - 12.83%
_______________

SC (Left) - 8.47%
SC (Bhovi) - 2.13%
SC (Right) - 1.29%
SC (Lambani) - 0.94%",ST Nayaka - 8.87%,Shri B P Harish,BJP,GEN,Lingayat - Sadaru,Srinivasa NH (Nandigavi),INC,GEN,Kuruba / Halumata,"Total no of Booths - 228
______________
Grade A - 108
Grade B - 15
Grade C - 5
Grade D - 100"
106,106,Davanagere North,Central,Davanagere,Davanagere,Davangere,"Lingayat - 30%
_______________

Lingayat Sadaru - 18%
Lingayat Panchamasali - 5%
Lingayat Veerashaiva - 4%
Lingayat Beda Jangama - 3%","SC - 15.19%
_______________

SC (Left) - 5.87%
SC (Lambani) - 4.08%
SC (Bhovi) - 2.45%
SC (Right) - 2.17%
SC (Others) - 0.62%",Muslim - 12.61%,ST Nayaka - 7.89%,Kuruba/ Halumatha - 6.54%,SS Mallikarjun,INC,GEN,Lingayat - Sadaru,Shri Lokikere Nagaraj,BJP,GEN,Lingayat - Sadaru,"Total no of Booths - 245
______________
Grade A - 175
Grade B - 8
Grade C - 5
Grade D - 57"
107,107,Davanagere South,Central,Davanagere,Davanagere,Davangere,Muslim - 39.32%,"Lingayat - 15%
_______________

Lingayat Panchamasali - 5%
Lingayat Veerashaiva - 2%
Lingayat Sadaru - 8%","SC - 14.4%
_______________

SC (Left) - 7.48%
SC (Right) - 2.98%
SC (Bhovi) - 1.95%
SC (Lambani) - 1.99%",ST Nayaka - 6.31%,Kuruba/ Halumatha - 5.9%,Shamanur Shivashankarappa,INC,GEN,Lingayat - Sadaru,Shri Ajay Kumar BG,BJP,GEN,Lingayat - Panchamasali,"Total no of Booths - 217
______________
Grade A - 103
Grade B - 14
Grade C - 2
Grade D - 98"
108,108,Mayakonda (SC),Central,Davanagere,Davanagere,Davangere,"SC - 27.45%
_______________

SC (Left) - 10.42%
SC (Lambani) - 9.69%
SC (Bhovi) - 5.53%
SC (Right) - 1.81%","Lingayat - 27%
_______________

Lingayat Sadaru - 21%
Lingayat Panchamasali - 3%
Lingayat Veerashaiva - 3%",ST Nayaka - 17.22%,Kuruba/ Halumatha - 7.99%,Muslim - 5.14%,KS Basavanthappa,INC,SC,SC - Left,BM Pushpa Vageeshaswamy,IND,SC,SC - Left,"Total no of Booths - 240
______________
Grade A - 105
Grade B - 13
Grade C - 9
Grade D - 113"
109,109,Channagiri,Central,Davanagere,Davanagere,Davangere,"SC - 25.91%
_______________

SC (Left) - 8.18%
SC (Lambani) - 8.32%
SC (Bhovi) - 4.29%
SC (Right) - 3.06%
SC (Others) - 2.06%","Lingayat - 25.53%
_______________

Lingayat Sadaru - 21.2%
Lingayat Veerashaiva - 3.39%
Lingayat Beda Jangama - 0.94%",Muslim - 17.56%,ST Nayaka - 13.02%,Uppara - 7.03%,Basavaraju V Shivaganga,INC,GEN,Lingayat - Sadaru,Madal Mallikarjuna,IND,GEN,Lingayat - Sadaru,"Total no of Booths - 255
______________
Grade A - 129
Grade B - 18
Grade C - 6
Grade D - 102"
110,110,Honnali,Central,Davanagere,Davanagere,Davangere,"Lingayat - 28.79%
_______________

Lingayat Sadaru - 17.45%
Lingayat Veerashaiva - 7.43%
Lingayat Nonaba - 2.2%
Lingayat Beda Jangama - 1.71%","SC - 22.7%
_______________

SC (Lambani) - 9.2%
SC (Left) - 8.36%
SC (Bhovi) - 3.93%
SC (Right) - 1.21%",Kuruba/ Halumatha - 16.57%,Muslim - 8.13%,ST Nayaka - 7.3%,Shanthana Gowda DG,INC,GEN,Lingayat - Sadaru,Shri MP Renukacharya,BJP,GEN,Lingayat - Jangama,"Total no of Booths - 245
______________
Grade A - 109
Grade B - 14
Grade C - 11
Grade D - 111"
111,111,Shimoga Rural (SC),Central,Shimoga,Shivamogga,Shivamogga,"SC - 27.13%
_______________

SC (Bhovi) - 8.38%
SC (Lambani) - 7.43%
SC (Right) - 5.15%
SC (Left) - 5.65%
SC (Others) - 0.52%","Lingayat - 19.55%
_______________

Lingayat Sadaru - 14.31%
Lingayat Veerashaiva - 4.55%
Lingayat Beda Jangama - 0.69%",Muslim - 10.02%,ST Nayaka - 7.87%,Maratha - 5.44%,Smt Sharada Puryanaik,JD(S),SC,Lambani,Shri KB Ashok Naik,BJP,SC,Lambani,"Total no of Booths - 249
______________
Grade A - 189
Grade B - 14
Grade C - 8
Grade D - 38"
112,112,Bhadravati,Central,Shimoga,Shivamogga,Shivamogga,"SC - 23.43%
_______________

SC (Right) - 6.63%
SC (Left) - 6.81%
SC (Bhovi) - 4.81%
SC (Lambani) - 4.42%
SC (Others) - 0.76%",Muslim - 21.03%,Vokkaliga - 15.52%,Lingayat - 6%,Kuruba/ Halumatha - 4.51%,BK Sangameshwara,INC,GEN,Lingayat - Ganiga,Smt Sharada Appaji,JD(S),GEN,Vokkaliga,"Total no of Booths - 253
______________
Grade A - 181
Grade B - 4
Grade C - 5
Grade D - 63"
113,113,Shimoga,Central,Shimoga,Shivamogga,Shivamogga,Muslim - 29.13%,"SC - 12.53%
_______________

SC (Right) - 3.34%
SC (Bhovi) - 3.17%
SC (Left) - 3.54%
SC (Lambani) - 1.82%
SC (Others) - 0.66%","Lingayat - 11.06%
_______________

Lingayat Sadaru - 5.61%
Lingayat Veerashaiva - 4.01%
Lingayat Beda Jangama - 0.53%
Lingayat Panchamasali - 0.46%
Lingayat Ganiga - 0.45%",Brahmin - 8.56%,Vokkaliga - 5.49%,Shri Channabasappa (Chenni),BJP,GEN,Lingayat - Panchamasali,HC Yogesh,INC,GEN,Lingayat - Sadaru,"Total no of Booths - 288
______________
Grade A - 203
Grade B - 7
Grade C - 1
Grade D - 77"
114,114,Tirthahalli,Central,Shimoga,Shivamogga,Shivamogga,Vokkaliga - 27.36%,Ediga / Billava / Namdhari Naik - 18.47%,"SC - 14.61%
_______________

SC (Right) - 5.1%
SC (Bhovi) - 3.55%
SC (Left) - 2.23%
SC (Lambani) - 1.96%
SC (Others) - 1.77%",Brahmin - 8.67%,Muslim - 6.77%,Shri Araga Jnanendra,BJP,OBC,Vokkaliga,Kimmane Ratnakar,INC,GEN,Vokkaliga,"Total no of Booths - 258
______________
Grade A - 222
Grade B - 10
Grade C - 5
Grade D - 21"
115,115,Shikaripura,Central,Shimoga,Shivamogga,Shivamogga,"SC - 26.26%
_______________

SC (Lambani) - 10.9%
SC (Bhovi) - 9.48%
SC (Right) - 2.51%
SC (Left) - 2.89%
SC (Others) - 0.48%","Lingayat - 20%
_______________

Lingayat Sadaru - 13%
Lingayat Veerashaiva - 7%",Muslim - 15.89%,Kuruba/ Halumatha - 9.17%,ST Nayaka - 5.5%,Shri Vijayendra Yediyurappa,BJP,GEN,Lingayat - Ganiga,SP Nagarajagowda,IND,GEN,Lingayat - Sadaru,"Total no of Booths - 235
______________
Grade A - 147
Grade B - 12
Grade C - 5
Grade D - 71"
116,116,Sorab,Central,Shimoga,Shivamogga,Shivamogga,Ediga / Billava / Namdhari Naik - 30%,"SC - 14%
_______________

SC (Bhovi) - 7%
SC (Right) - 6%
SC (Others) - 1%","Lingayat - 13%
_______________

Lingayat Sadaru - 7%
Lingayat Veerashaiva - 6%",Bestha/ Koli/ Kabbaliga/ Mogaveera - 7%,Madivala/ Agasa/ Dhobi - 7%,Madhu Bangarappa,INC,OBC,Ediga / Billava / Namdhari Naik,Shri S Kumara Bangarappa,BJP,OBC,Ediga / Billava / Namdhari Naik,"Total no of Booths - 238
______________
Grade A - 149
Grade B - 28
Grade C - 10
Grade D - 51"
117,117,Sagar,Central,Shimoga,Shivamogga,Shivamogga,Ediga / Billava / Namdhari Naik - 32.12%,Muslim - 11.94%,"SC - 10.81%
_______________

SC (Right) - 4.39%
SC (Others) - 2.37%
SC (Bhovi) - 1.63%
SC (Left) - 2.42%",Brahmin - 10.4%,Lingayat - 6.28%,Gopala Krishna Beluru,INC,OBC,Ediga / Billava / Namdhari Naik,Shri H Halappa Harathalu,BJP,OBC,Ediga / Billava / Namdhari Naik,"Total no of Booths - 271
______________
Grade A - 180
Grade B - 16
Grade C - 10
Grade D - 65"
118,118,Byndoor,Central,Shimoga,Udupi,Udupi,Ediga / Billava / Namdhari Naik - 18.81%,Bunt/ Nadava - 15%,Bestha/ Koli/ Kabbaliga/ Mogaveera - 13.69%,"SC - 9.84%
_______________

SC (Left) - 8.02%
SC (Others) - 1.21%
SC (Right) - 0.61%",Devadiga / Devali - 8.7%,Shri Gururaj Shetty Gantihole,BJP,OBC,Bunt / Nadava,K Gopal Poojary,INC,OBC,Ediga / Billava / Namdhari Naik,"Total no of Booths - 246
______________
Grade A - 216
Grade B - 5
Grade C - 1
Grade D - 24"
119,119,Kundapura,Coastal,Udupi Chikmagalur,Udupi,Udupi,Ediga / Billava / Namdhari Naik - 17.6%,Bestha/ Koli/ Kabbaliga/ Mogaveera - 16.99%,Bunt/ Nadava - 14.08%,SC (Others) - 8.51%,Brahmin - 6.67%,Shri A Kiran Kumar Kodgi,BJP,GEN,Brahmin,Dinesh Hegde Molahalli,INC,GEN,Bunt / Nadava,"Total no of Booths - 222
______________
Grade A - 204
Grade B - 6
Grade C - 1
Grade D - 11"
120,120,Udupi,Coastal,Udupi Chikmagalur,Udupi,Udupi,Ediga / Billava / Namdhari Naik - 18.76%,Brahmin - 11.64%,Bunt/ Nadava - 8.34%,Bestha/ Koli/ Kabbaliga/ Mogaveera - 8.31%,SC (Others) - 8.11%,Shri Yashpal A Suvarna,BJP,OBC,Mogaveera,Prasadraj Kanchan,INC,OBC,Koli Kabbaliga/ Besta/ Mogaveera,"Total no of Booths - 226
______________
Grade A - 197
Grade B - 10
Grade C - 1
Grade D - 18"
121,121,Kapu,Coastal,Udupi Chikmagalur,Udupi,Udupi,Ediga / Billava / Namdhari Naik - 16.43%,Muslim - 14.32%,Bunt/ Nadava - 9.6%,Christian - 8.07%,SC (Others) - 6.63%,Shri Gurme Suresh Shetty,BJP,OBC,Bunt / Nadava,Vinay Kumar Sorake,INC,OBC,Ediga / Billava / Namdhari Naik,"Total no of Booths - 209
______________
Grade A - 165
Grade B - 7
Grade C - 4
Grade D - 33"
122,122,Karkal,Coastal,Udupi Chikmagalur,Udupi,Udupi,Ediga / Billava / Namdhari Naik - 17.45%,"SC - 12.9%
_______________

SC (Left) - 6.25%
SC (Others) - 5.26%
SC (Bhovi) - 1.39%",Bunt/ Nadava - 13.04%,Vishwakarma - 6.87%,Christian - 6.28%,Shri V Sunill Kumar,BJP,OBC,Ediga / Billava / Namdhari Naik,Udaya Shetty Muniyal,INC,GEN,Bunt / Nadava,"Total no of Booths - 209
______________
Grade A - 190
Grade B - 8
Grade C - 2
Grade D - 9"
123,123,Sringeri,Coastal,Udupi Chikmagalur,Chikmagalur,Chikmagalur,Vokkaliga - 19.62%,"SC - 19.41%
_______________

SC (Right) - 11.5%
SC (Left) - 4.33%
SC (Bhovi) - 2.36%
SC (Others) - 1.22%",Ediga / Billava / Namdhari Naik - 10.75%,Brahmin - 8.99%,Muslim - 8.78%,TD Rajegowda,INC,GEN,Vokkaliga,Shri DN Jeevaraja,BJP,GEN,Vokkaliga,"Total no of Booths - 256
______________
Grade A - 203
Grade B - 15
Grade C - 3
Grade D - 35"
124,124,Mudigere (SC),Coastal,Udupi Chikmagalur,Chikmagalur,Chikmagalur,"SC - 30.86%
_______________

SC (Right) - 23.69%
SC (Left) - 5.48%
SC (Others) - 1.69%",Vokkaliga - 24.30%,Muslim - 8.41%,ST Nayaka - 7.73%,Ediga / Billava / Namdhari Naik - 5.28%,Nayana Motamma,INC,SC,SC - Right,Shri Deepak Doddaiah,BJP,SC,SC - Left,"Total no of Booths - 231
______________
Grade A - 172
Grade B - 7
Grade C - 5
Grade D - 47"
125,125,Chikmagalur,Coastal,Udupi Chikmagalur,Chikmagalur,Chikmagalur,"Lingayat - 14.93%
_______________

Lingayat Sadaru - 10.15%
Lingayat Nonaba - 2.8%
Lingayat Veerashaiva - 1.43%
Lingayat Ganiga - 0.55%","SC - 22.11%
_______________

SC (Right) - 8.65%
SC (Left) - 8.07%
SC (Lambani) - 3.36%
SC (Bhovi) - 1.55%
SC (Others) - 0.48%",Muslim - 15.16%,Kuruba/ Halumatha - 13.35%,Vokkaliga - 6.05%,HD Thammaiah,INC,GEN,Lingayat - Sadaru,Shri CT Ravi,BJP,GEN,Vokkaliga,"Total no of Booths - 261
______________
Grade A - 174
Grade B - 13
Grade C - 5
Grade D - 69"
126,126,Tarikere,Coastal,Udupi Chikmagalur,Chikmagalur,Chikmagalur,"Lingayat - 30.29%
_______________

Lingayat Sadaru - 18.96%
Lingayat Nonaba - 6.19%
Lingayat Veerashaiva - 2.13%
Lingayat Beda Jangama - 2.01%","SC - 29.46%
_______________

SC (Left) - 13.02%
SC (Lambani) - 7.51%
SC (Bhovi) - 4.89%
SC (Right) - 3.28%
SC (Others) - 0.76%",Kuruba/ Halumatha - 8.77%,Uppara - 4.86%,Muslim - 4.8%,GH Srinivasa,INC,OBC,Kuruba / Halumata,Shri DS Suresh,BJP,GEN,Lingayat - Sadaru,"Total no of Booths - 228
______________
Grade A - 149
Grade B - 11
Grade C - 6
Grade D - 62"
127,127,Kadur,OMR,Hassan,Chikmagalur,Chikmagalur,"Lingayat - 26.34%
_______________

Lingayat Sadaru - 20.08%
Lingayat Nonaba - 3.63%
Lingayat Beda Jangama - 1.58%
Lingayat Veerashaiva - 1.05%","SC - 21.25%
_______________

SC (Left) - 6.49%
SC (Bhovi) - 5.14%
SC (Lambani) - 6.37%
SC (Right) - 1.28%
SC (Others) - 1.97%",Kuruba/ Halumatha - 19.69%,Uppara - 7.84%,Vokkaliga - 5.85%,Anand KS,INC,OBC,Kuruba / Halumata,Shri Belli Prakash,BJP,GEN,Lingayat - Nonaba,"Total no of Booths - 253
______________
Grade A - 131
Grade B - 16
Grade C - 0
Grade D - 106"
128,128,Chikkanayakanahalli,OMR,Tumkur,Tumkur,Tumkur,"SC - 21.03%
_______________

SC (Left) - 8.92%
SC (Bhovi) - 4.03%
SC (Lambani) - 4.64%
SC (Right) - 3.44%","Lingayat - 14.12%
_______________

Lingayat Nonaba - 12.78%
Lingayat Veerashaiva - 1.34%","Vokkaliga - 11.19%
_______________

Vokkaliga - 5.8%
Vokkaliga Kunchitiga - 5.39%",Kuruba/ Halumatha - 11.14%,ST Nayaka - 10.63%,Shri CB Suresh Baabu,JD(S),OBC,Kuruba / Halumata,Shri JC Madhu Swamy,BJP,GEN,Lingayat - Nonaba,"Total no of Booths - 260
______________
Grade A - 140
Grade B - 20
Grade C - 7
Grade D - 93"
129,129,Tiptur,OMR,Tumkur,Tumkur,Tumkur,"Lingayat - 28.02%
_______________

Lingayat Nonaba - 22.99%
Lingayat Veerashaiva - 3.98%
Lingayat Ganiga - 1.05%","SC - 16.13%
_______________

SC (Left) - 8.71%
SC (Right) - 3.21%
SC (Bhovi) - 2.85%
SC (Lambani) - 0.73%
SC (Others) - 0.63%",Kuruba/ Halumatha - 11.53%,Muslim - 8.6%,Vokkaliga - 8.01%,K Shadakshari,INC,GEN,Lingayat - Nonaba,Shri BC Nagesh,BJP,GEN,Brahmin,"Total no of Booths - 224
______________
Grade A - 154
Grade B - 9
Grade C - 4
Grade D - 57"
130,130,Turuvekere,OMR,Tumkur,Tumkur,Tumkur,Vokkaliga - 38.24%,"SC - 14.44%
_______________

SC (Left) - 9.28%
SC (Right) - 3.82%
SC (Others) - 1.34%","Lingayat - 12.63%
_______________

Lingayat Veerashaiva - 5.05%
Lingayat Nonaba - 6.77%
Lingayat Ganiga - 0.81%",Yadava/ Golla/ Hanabar - 6.15%,Tigala/ Vanniyar - 6%,Shri MT Krishnappa,JD(S),GEN,Vokkaliga,Shri Masala Jayaram,BJP,GEN,Vokkaliga,"Total no of Booths - 224
______________
Grade A - 191
Grade B - 2
Grade C - 4
Grade D - 27"
131,131,Kunigal,Bengaluru,Bengaluru Rural,Tumkur,Tumkur,Vokkaliga - 54.12%,"SC - 16.22%
_______________

SC (Left) - 11.12%
SC (Right) - 3.79%
SC (Bhovi) - 1.31%",Muslim - 9.43%,Lingayat - 4.23%,Others - 16%,Dr HD Ranganath,INC,GEN,Vokkaliga - Gangatkar,Shri D Krishnakumar,BJP,GEN,Vokkaliga,"Total no of Booths - 265
______________
Grade A - 203
Grade B - 16
Grade C - 4
Grade D - 42"
132,132,Tumkur City,OMR,Tumkur,Tumkur,Tumkur,"Lingayat - 12.7%
_______________

Lingayat Veerashaiva - 7.33%
Lingayat Nonaba - 5.37%","SC - 15.58%
_______________

SC (Left) - 9.72%
SC (Right) - 4.89%
SC (Bhovi) - 0.97%",Muslim - 31.37%,Vokkaliga - 9.19%,Tigala/ Vanniyar - 6.45%,Shri GB Jyothi Ganesh,BJP,GEN,Lingayat - Nonaba,Shri N Govindaraju,JD(S),GEN,Vokkaliga,"Total no of Booths - 235
______________
Grade A - 145
Grade B - 5
Grade C - 4
Grade D - 81"
133,133,Tumkur Rural,OMR,Tumkur,Tumkur,Tumkur,"SC - 24.26%
_______________

SC (Right) - 7.97%
SC (Left) - 12.74%
SC (Bhovi) - 2.47%
SC (Others) - 1.08%",Vokkaliga - 24.04%,"Lingayat - 11.75%
_______________

Lingayat Nonaba - 5.96%
Lingayat Veerashaiva - 5.3%
Lingayat Ganiga - 0.49%",Muslim - 8.62%,Tigala/ Vanniyar - 8.43%,Shri B Suresh Gowda,BJP,GEN,Vokkaliga,Shri DC Gowrishankar Swamy,JD(S),GEN,Vokkaliga - Gangatkar,"Total no of Booths - 223
______________
Grade A - 176
Grade B - 12
Grade C - 3
Grade D - 32"
134,134,Koratagere (SC),OMR,Tumkur,Tumkur,Tumkur,"SC - 26%
_______________

SC (Left) - 15.5%
SC (Bhovi) - 5.17%
SC (Right) - 3.03%
SC (Lambani) - 1.73%
SC (Others) - 0.57%","Vokkaliga - 20.50%
_______________

Vokkaliga - 14.44%
Vokkaliga Kunchitiga - 6.06%",ST Nayaka - 11.61%,"Lingayat - 8.41%
_______________

Lingayat Nonaba - 4.72%
Lingayat Veerashaiva - 3.17%
Lingayat Beda Jangama - 0.52%",Muslim - 5.69%,Dr G Parameshwara,INC,SC,SC - Right,Shri PR Sudhakar Lal,JD(S),SC,SC - Right,"Total no of Booths - 240
______________
Grade A - 181
Grade B - 16
Grade C - 3
Grade D - 40"
135,135,Gubbi,OMR,Tumkur,Tumkur,Tumkur,"Lingayat - 22.11%
_______________

Lingayat Nonaba - 13.93%
Lingayat Veerashaiva - 7.57%
Lingayat Ganiga - 0.61%","SC - 19.97%
_______________

SC (Left) - 13.38%
SC (Right) - 5.05%
SC (Bhovi) - 1.54%",Vokkaliga - 12.62%,Yadava/ Golla/ Hanabar - 10.73%,Tigala/ Vanniyar - 8.97%,SR Srinivas (Vasu),INC,GEN,Vokkaliga,Shri SD Dilipkumar,BJP,GEN,Lingayat - Nonaba,"Total no of Booths - 199
______________
Grade A - 150
Grade B - 8
Grade C - 10
Grade D - 31"
136,136,Sira,Central,Chitradurga,Tumkur,Tumkur,"SC - 23.01%
_______________

SC (Left) - 14.48%
SC (Right) - 3.76%
SC (Bhovi) - 2.91%
SC (Lambani) - 1.86%","Vokkaliga - 27.39%
_______________

Vokkaliga Kunchitiga - 20.21%
Vokkaliga - 7.18%",Yadava/ Golla/ Hanabar - 13.05%,Muslim - 10.06%,ST Nayaka - 8.19%,TB Jayachandra,INC,GEN,Vokkaliga - Kunchitiga,Shri R Ugresh,JD(S),GEN,Vokkaliga,"Total no of Booths - 267
______________
Grade A - 186
Grade B - 11
Grade C - 8
Grade D - 62"
137,137,Pavagada (SC),Central,Chitradurga,Tumkur,Tumkur,"SC - 29.44%
_______________

SC (Left) - 17.28%
SC (Bhovi) - 5.44%
SC (Lambani) - 4.6%
SC (Right) - 2.12%",ST Nayaka - 18.85%,Yadava/ Golla/ Hanabar - 11.42%,Vokkaliga - 10.06%,Kuruba/ Halumatha - 7.96%,HV Venkatesh,INC,SC,Bhovi,Shri KM Thimmarayappa,JD(S),SC,SC - Right,"Total no of Booths - 240
______________
Grade A - 151
Grade B - 24
Grade C - 9
Grade D - 56"
138,138,Madhugiri,OMR,Tumkur,Tumkur,Tumkur,"SC - 25.00%
_______________

SC (Left) - 17.43%
SC (Bhovi) - 3.88%
SC (Right) - 2.42%
SC (Lambani) - 1.27%",Vokkaliga - 21.34%,ST Nayaka - 13.32%,Yadava/ Golla/ Hanabar - 9.17%,Kuruba/ Halumatha - 6.31%,Kyathasandra N Rajanna,INC,ST,Nayaka,Shri MV Veerabhadraiah,JD(S),GEN,Vokkaliga - Kunchitiga,"Total no of Booths - 241
______________
Grade A - 155
Grade B - 14
Grade C - 10
Grade D - 62"
139,139,Gauribidanur,OMR,Chikkaballapur,Chikkaballapura,Chikkaballapura,"SC - 25.24%
_______________

SC (Left) - 12.65%
SC (Right) - 8.47%
SC (Bhovi) - 2.57%
SC (Others) - 1.55%",ST - 15.82%,Muslim - 11.89%,Vokkaliga - 9.88%,Kuruba/ Halumatha - 7.83%,KH Puttaswamy Gowda (KHP),IND,GEN,Vokkaliga,NH Shivashankara Reddy,INC,GEN,Reddy,"Total no of Booths - 259
______________
Grade A - 143
Grade B - 19
Grade C - 7
Grade D - 90"
140,140,Bagepalli,OMR,Chikkaballapur,Chikkaballapura,Chikkaballapura,"SC - 27.35%
_______________

SC (Left) - 12.8%
SC (Bhovi) - 8.9%
SC (Right) - 3.02%
SC (Lambani) - 2.63%",Vokkaliga - 19.26%,ST - 17.65%,Balija - 10.88%,Muslim - 9.51%,SN Subbareddy (Chinnakayalapalli),INC,GEN,Reddy,Shri C Muniraju,BJP,OBC,Balija,"Total no of Booths - 267
______________
Grade A - 135
Grade B - 34
Grade C - 13
Grade D - 85"
141,141,Chikkaballapura,OMR,Chikkaballapur,Chikkaballapura,Chikkaballapura,"SC - 29.37%
_______________

SC (Left) - 17.59%
SC (Right) - 7.3%
SC (Bhovi) - 3.99%
SC (Others) - 0.49%",Vokkaliga - 22.04%,Balija - 10.99%,ST - 9.93%,Muslim - 9.25%,Pradeep Eshwar,INC,OBC,Balija,Shri Dr K Sudhakar,BJP,GEN,Vokkaliga,"Total no of Booths - 252
______________
Grade A - 183
Grade B - 21
Grade C - 3
Grade D - 45"
142,142,Sidlaghatta,OMR,Kolar,Chikkaballapura,Chikkaballapura,Vokkaliga - 29.73%,"SC - 26.13%
_______________

SC (Left) - 17.32%
SC (Right) - 5.34%
SC (Bhovi) - 2.95%
SC (Others) - 0.52%",Muslim - 12.22%,ST - 9.53%,Yadava/ Golla/ Hanabar - 5.33%,Shri BN Ravi Kumar,JD(S),GEN,Vokkaliga,Puttu Anjinappa,IND,GEN,Vokkaliga,"Total no of Booths - 244
______________
Grade A - 149
Grade B - 16
Grade C - 7
Grade D - 72"
