Sl No,AC No,AC Name,Zone,PC,District,Org District,Dominant Caste 1,Dominant Caste 2,Dominant Caste 3,Dominant Caste 4,Dominant Caste 5,Winner - Name,Winner - Party,Winner - Category,Winner - Caste,Runner Up - Name,Runner Up - Party,Runner Up - Category,Runner Party - Caste,2024 GE Booth Gradation
11,11,Belgaum Uttar,Kittur,Belgaum,Belagavi,Belagavi City,Muslim - 35.89%,Maratha - 22.76%,"Lingayat - 20%
_______________

Lingayat Panchamasali - 18%
Lingayat Veerashaiva - 1%
Lingayat Lingavantha - 0.5%
Lingayat Ganiga - 0.5%",Others - 12.05%,"SC - 8.29%
_______________

SC (Lambani) - 3.02%
SC (Right) - 2.66%
SC (Left) - 1.64%
SC (Others) - 0.97%",Asif (Raju) Sait,INC,OBC,Muslim, Dr Ravi B Patil,BJP,GEN,Lingayat - Panchamasali,"Total no of Booths - 257
______________
Grade A - 153
Grade B - 9
Grade C - 3
Grade D - 92"
12,12,Belgaum Dakshin,Kittur,Belgaum,Belagavi,Belagavi City,Maratha - 40.28%,Others - 11.40%,Muslim - 11.02%,Brahmin - 10.9%,"Lingayat - 8%
_______________

Lingayat Panchamasali - 8%",Shri Abhay Patil,BJP,OBC,Jain,Ramakant Konduskar,IND,GEN,Maratha,"Total no of Booths - 256
______________
Grade A - 229
Grade B - 4
Grade C - 2
Grade D - 21"
13,13,Belgaum Rural,Kittur,Belgaum,Belagavi,Belagavi Rural,Maratha - 52.48%,"Lingayat - 18%
_______________

Lingayat Panchamasali - 10%
Lingayat Jangama - 5%
Lingayat Chaturth - 2%
LingayatMali - 1%","SC - 7.73%
_______________

SC (Right) - 1.26%
SC (Left) - 4.1%
SC (Lambani) - 2.37%",ST Nayaka - 6.94%,Muslim - 6.11%,Laxmi Hebbalkar,INC,GEN,Lingayat - Panchamasali,Shri Nagesh Annappa Manolkar,BJP,GEN,Maratha,"Total no of Booths - 294
______________
Grade A - 231
Grade B - 15
Grade C - 3
Grade D - 45"
14,14,Khanapur,Coastal,Uttara Kannada,Belagavi,Belagavi Rural,Maratha - 55.19%,Others - 12.26%,"Lingayat - 10%
_______________

Lingayat Panchamasali - 10%",Muslim - 8.78%,"SC - 6.12%
_______________

SC (Right) - 2.82%
SC (Left) - 2.69%
SC (Others) - 0.61%",Shri Vithal Halagekar,BJP,OBC,Maratha,Dr Anjali Hemant Nimbalkar,INC,GEN,Maratha,"Total no of Booths - 312
______________
Grade A - 265
Grade B - 1
Grade C - 2
Grade D - 44"
15,15,Kittur,Coastal,Uttara Kannada,Belagavi,Belagavi Rural,"Lingayat - 45%
_______________

Lingayat Panchamasali - 40%
Lingayat Jangama - 5%",ST Nayaka - 11.58%,Others - 10.59%,Muslim - 10.17%,Kuruba/ Halumatha - 8.44%,Babasaheb Patil,INC,GEN,Lingayat - Panchamasali,Shri Doddagoudar Mahantesh Basavantaray,BJP,GEN,Lingayat - Panchamasali,"Total no of Booths - 230
______________
Grade A - 180
Grade B - 8
Grade C - 4
Grade D - 38"
16,16,Bailhongal,Kittur,Belgaum,Belagavi,Belagavi Rural,"Lingayat - 42%
_______________

Lingayat Panchamasali - 30%
Lingayat Banajiga - 10%
Lingayat Jangama - 2%",Kuruba/ Halumatha - 13.9%,Muslim - 11.41%,Others - 8.46%,ST Nayaka - 8.38%,Mahantesh Koujalagi,INC,GEN,Lingayat - Banajiga,Shri Jagdish Channappa Metgud,BJP,GEN,Lingayat - Banajiga,"Total no of Booths - 224
______________
Grade A - 144
Grade B - 14
Grade C - 5
Grade D - 61"
17,17,Saundatti Yellamma,Kittur,Belgaum,Belagavi,Belagavi Rural,"Lingayat - 26%
_______________

Lingayat Panchamasali - 17%
Lingayat General - 3.33%
Lingayat Banajiga - 6%
Lingayat Jangama - 3%",Kuruba/ Halumatha - 23.76%,Muslim - 12.04%,ST Nayaka - 11.98%,Others - 7.20%,Vishwas Vaidya,INC,GEN,Brahmin,Shri Mamani Ratna Anand @ Vishwanath,BJP,GEN,Lingayat - Panchamasali,"Total no of Booths - 233
______________
Grade A - 71
Grade B - 14
Grade C - 7
Grade D - 141"
18,18,Ramdurg,Kittur,Belgaum,Belagavi,Belagavi Rural,"Lingayat - 30%
_______________

Lingayat Panchamasali - 20%
Lingayat Reddy Lingayat - 5%
Lingayat Banajiga - 5%",Kuruba/ Halumatha - 22.92%,"SC - 15.45%
_______________

SC (Right) - 1.78%
SC (Left) - 6.53%
SC (Lambani) - 5.97%
SC (Others) - 1.17%",Muslim - 10.52%,Maratha - 6.01%,Ashok Pattan,INC,GEN,Lingayat - Reddy,Shri Chikkarevanna,BJP,OBC,Kuruba / Halumata,"Total no of Booths - 251
______________
Grade A - 122
Grade B - 16
Grade C - 16
Grade D - 97"
19,19,Mudhol (SC),Kittur,Bagalkot,Bagalkot,Bagalkot,"Lingayat - 32%
_______________

Lingayat Reddy Lingayat - 14%
Lingayat Panchamasali - 10%
Lingayat Ganiga - 4%
Lingayat Banajiga - 4%","SC - 20.17%
_______________

SC (Left) - 14.6%
SC (Lambani) - 2.17%
SC (Right) - 0.98%
SC (Bhovi) - 0.73%
SC (Others) - 1.69%",Kuruba/ Halumatha - 13.41%,Others - 9.26%,Muslim - 9.2%,R B Timmapur,INC,SC,SC - Left,Shri Govind Makthappa Karjol,BJP,SC,SC - Left,"Total no of Booths - 212
______________
Grade A - 127
Grade B - 17
Grade C - 9
Grade D - 59"
20,20,Terdal,Kittur,Bagalkot,Bagalkot,Bagalkot,"Lingayat - 25%
_______________

Lingayat Panchamasali - 15%
Lingayat Ganiga - 4%
Lingayat Banajiga - 3%
LingayatMali - 3%","SC - 18.49%
_______________

SC (Left) - 9.79%
SC (Right) - 4.06%
SC (Bhovi) - 2.07%
SC (Others) - 2.57%",Muslim - 14.89%,Kuruba/ Halumatha - 10.01%,Others - 9.86%,Shri Siddu Savadi,BJP,GEN,Lingayat - Panchamasali,Siddu Ramappa Konnur,INC,GEN,Lingayat - Panchamasali,"Total no of Booths - 236
______________
Grade A - 143
Grade B - 11
Grade C - 4
Grade D - 78"
